Deck,Type,Name,Description,Mechanic
Noir Chicago,Ability,Pain Tolerance,Push through agony,"{""resistance"":""pain""}"
Noir Chicago,Ability,Photographic Memory,Remember everything,"{""utility"":""memory""}"
Noir Chicago,Ability,Poker Face,Conceal intentions,"{""social"":""deception""}"
Noir Chicago,Ability,Shadow Tailer,Follow without detection,"{""stealth"":1}"
Noir Chicago,Ability,Survivor's Luck,Narrow escapes,"{""luck"":1}"
Noir Chicago,Character,Beat Cop,Patrols neighborhood,"{""power_level"":2,""connection"":""police""}"
Noir Chicago,Character,Bootlegger,Transports alcohol,"{""power_level"":2,""connection"":""criminal""}"
Noir Chicago,Character,Boxer,Prize fighter,"{""power_level"":3,""connection"":""sport""}"
Noir Chicago,Character,Corrupt Politician,Takes bribes,"{""power_level"":2,""connection"":""political""}"
Noir Chicago,Character,Dirty Doctor,Patches up criminals,"{""power_level"":2,""connection"":""medical""}"
Noir Chicago,Character,Femme Fatale,Dangerous lure,"{""power_level"":2,""connection"":""social""}"
Noir Chicago,Character,Fence,Buys stolen goods,"{""power_level"":2,""connection"":""criminal""}"
Noir Chicago,Character,Investigative Journalist,Chasing headline,"{""power_level"":2,""connection"":""media""}"
Noir Chicago,Character,Jazz Singer,Club voice,"{""power_level"":1,""connection"":""art""}"
Noir Chicago,Character,Mob Enforcer,Breaks legs,"{""power_level"":3,""connection"":""criminal""}"
Noir Chicago,Character,Nightclub Owner,Maintains neutral ground,"{""power_level"":2,""connection"":""social""}"
Noir Chicago,Character,Private Eye,Cynical investigator,"{""power_level"":3,""connection"":""law""}"
Noir Chicago,Character,Taxi Driver,Sees everything,"{""power_level"":1,""connection"":""transport""}"
Noir Chicago,Character,The Grifter,Con artist,"{""power_level"":2,""connection"":""criminal""}"
Noir Chicago,Character,The Snitch,Sells info,"{""power_level"":1,""connection"":""informant""}"
Noir Chicago,Character,Union Boss,Controls workers,"{""power_level"":3,""connection"":""labor""}"
Noir Chicago,Drawback,Blacklisted,No official employment,"{""poverty"":true}"
Noir Chicago,Drawback,Chain Smoker,Short breath,"{""stamina_penalty"":true}"
Noir Chicago,Drawback,Gambling Debt,Owe money to mob,"{""debt"":true}"
Noir Chicago,Drawback,Glass Jaw,Easily knocked out,"{""weakness"":""knockout""}"
Noir Chicago,Drawback,Heavy Drinker,Shakes without drink,"{""addiction"":true}"
Noir Chicago,Drawback,Insomnia,Hallucinating from exhaustion,"{""fatigue"":true}"
Noir Chicago,Drawback,Known Squealer,Pariah and target,"{""reputation"":-1}"
Noir Chicago,Drawback,Loudmouth,Spills secrets,"{""social_penalty"":true}"
Noir Chicago,Drawback,Nosy,Compulsion to investigate,"{""obsession"":true}"
Noir Chicago,Drawback,Old War Wound,Injury acts up,"{""physical_penalty"":true}"
Noir Chicago,Drawback,Recognizable,Face well known,"{""stealth_penalty"":true}"
Noir Chicago,Drawback,Sentimental,Attached to keepsake,"{""weakness"":""emotional""}"
Noir Chicago,Drawback,Short Fuse,Violent outbursts,"{""berserk"":true}"
Noir Chicago,Drawback,Soft Spot,Cannot refuse request,"{""weakness"":""emotional""}"
Noir Chicago,Drawback,Untrusting,Refuse help,"{""social_penalty"":true}"
Noir Chicago,Drawback,Wanted by the Mob,Contract on life,"{""hunted"":true}"
Noir Chicago,Item,Black Book,Directory of contacts,"{""utility"":""social""}"
Noir Chicago,Item,Blackmail Photos,Compromising images,"{""utility"":""leverage""}"
Noir Chicago,Item,Brass Knuckles,Metal hand weapon,"{""damage"":1}"
Noir Chicago,Item,Cipher Book,Code book,"{""utility"":""code""}"
Noir Chicago,Item,Fedora & Trenchcoat,Detective attire,"{""utility"":""disguise""}"
Noir Chicago,Item,Flask of Whiskey,Pocket alcohol,"{""utility"":""social""}"
Noir Chicago,Item,Getaway Car,Fast sedan,"{""vehicle"":""car""}"
Noir Chicago,Item,Hidden Shoulder Holster,Concealed harness,"{""utility"":""conceal""}"
Noir Chicago,Item,Lockpick Set,Breaking tools,"{""utility"":""lockpick""}"
Noir Chicago,Item,Lucky Coin,Decision flipper,"{""utility"":""luck""}"
Noir Chicago,Item,Police Badge,Access credential,"{""utility"":""authority""}"
Noir Chicago,Item,Press Badge,Journalist credential,"{""utility"":""access""}"
Noir Chicago,Item,Snub-nose Revolver,Compact .38,"{""damage"":2,""concealed"":true}"
Noir Chicago,Item,Switchblade,Folding knife,"{""damage"":1,""concealed"":true}"
Noir Chicago,Item,Tommy Gun,Submachine gun,"{""damage"":3,""area"":true}"
Noir Chicago,Item,Wiretap Equipment,Surveillance gear,"{""utility"":""spy""}"
Noir Chicago,Skill,Brawling,Street fighting,"{""skill"":""combat""}"
Noir Chicago,Skill,Driving,Vehicle operation,"{""skill"":""pilot""}"
Noir Chicago,Skill,Fast Talking,Persuasive speech,"{""skill"":""social""}"
Noir Chicago,Skill,Firearms,Gun proficiency,"{""skill"":""combat""}"
Noir Chicago,Skill,Forgery,Fake documents,"{""skill"":""deception""}"
Noir Chicago,Skill,Gambling,Cards and dice,"{""skill"":""game""}"
Noir Chicago,Skill,Hand-to-Hand,Fist fighting,"{""skill"":""combat""}"
Noir Chicago,Skill,Interrogation,Extract info,"{""skill"":""social""}"
Noir Chicago,Skill,Lock Picking,Bypass security,"{""skill"":""tech""}"
Noir Chicago,Skill,Photography,Capture evidence,"{""skill"":""art""}"
Noir Chicago,Skill,Reading People,Assess character,"{""skill"":""insight""}"
Noir Chicago,Skill,Safecracking,Open safes,"{""skill"":""tech""}"
Noir Chicago,Skill,Shadowing,Follow suspects,"{""skill"":""stealth""}"
Noir Chicago,Skill,Streetwise,Underworld knowledge,"{""skill"":""social""}"
Noir Chicago,Skill,Tailing,Track subjects,"{""skill"":""stealth""}"
Noir Chicago,Skill,Urban Navigation,Shortcuts,"{""skill"":""knowledge""}"
Noir Chicago,Trait,Calculating,Strategic thinking,"{""trait"":true}"
Noir Chicago,Trait,Connected,Extensive contacts,"{""trait"":true}"
Noir Chicago,Trait,Cynical,Expect betrayal,"{""trait"":true}"
Noir Chicago,Trait,Determined,Refuse to quit,"{""trait"":true}"
Noir Chicago,Trait,Gritty,Tough survivor,"{""trait"":true}"
Noir Chicago,Trait,Haunted,Past traumas,"{""trait"":true}"
Noir Chicago,Trait,Intimidating,Command respect,"{""trait"":true}"
Noir Chicago,Trait,Jaded,Nothing surprises,"{""trait"":true}"
Noir Chicago,Trait,Loyal,Stand by word,"{""trait"":true}"
Noir Chicago,Trait,Observant,Notice details,"{""trait"":true}"
Noir Chicago,Trait,Principled,Personal code,"{""trait"":true}"
Noir Chicago,Trait,Resourceful,Improvise solutions,"{""trait"":true}"
Noir Chicago,Trait,Sharp,Quick-witted,"{""trait"":true}"
Noir Chicago,Trait,Smooth,Charming,"{""trait"":true}"
Noir Chicago,Trait,Street Smart,Underworld instinct,"{""trait"":true}"
Noir Chicago,Trait,Weary,Exhausted but pushing,"{""trait"":true}"
Primeval Forest,Ability,Beast Speak,Communicate with animals,"{""social"":""animal""}"
Primeval Forest,Ability,Camouflage,Blend into natural surroundings,"{""stealth"":2}"
Primeval Forest,Ability,Feral Rage,Berserk combat state,"{""buff"":""damage""}"
Primeval Forest,Ability,Heightened Smell,Track by scent,"{""perception"":""scent""}"
Primeval Forest,Ability,Nature's Healing,Accelerated recovery in forest,"{""heal"":2}"
Primeval Forest,Ability,Night Vision,See in darkness,"{""perception"":""dark""}"
Primeval Forest,Ability,Pack Bond,Command wild animals,"{""minion"":""animal""}"
Primeval Forest,Ability,Pathfinder,Supernatural direction sense,"{""skill_bonus"":""survival""}"
Primeval Forest,Ability,Plant Growth,Accelerate vegetation,"{""utility"":""nature""}"
Primeval Forest,Ability,Primal Rage,Savage fury,"{""buff"":""strength""}"
Primeval Forest,Ability,Savage Strength,Enhanced power in wilderness,"{""buff"":""strength""}"
Primeval Forest,Ability,Spirit Guide,Animal spirit guidance,"{""utility"":""knowledge""}"
Primeval Forest,Ability,Tree Walking,Move through canopy,"{""movement"":""climb""}"
Primeval Forest,Ability,Venom Immunity,Resistance to poisons,"{""resistance"":""poison""}"
Primeval Forest,Ability,Weather Sense,Predict storms,"{""perception"":""weather""}"
Primeval Forest,Ability,Wildshape,Take on animal characteristics,"{""transform"":true}"
Primeval Forest,Character,Beast Master,Lives among animals,"{""power_level"":3,""connection"":""nature""}"
Primeval Forest,Character,Beast Shaman,Mystical animal commander,"{""power_level"":3,""connection"":""nature""}"
Primeval Forest,Character,Cave Dweller,Lives in rock formations,"{""power_level"":2,""connection"":""outcast""}"
Primeval Forest,Character,Druid,Nature priest,"{""power_level"":3,""connection"":""religious""}"
Primeval Forest,Character,Exile,Banished from civilization,"{""power_level"":2,""connection"":""outcast""}"
Primeval Forest,Character,Feral Child,Raised by animals,"{""power_level"":2,""connection"":""wild""}"
Primeval Forest,Character,Forest Guardian,Protector of groves,"{""power_level"":4,""connection"":""guardian""}"
Primeval Forest,Character,Gatherer Elder,Knowledge of plants,"{""power_level"":2,""connection"":""tribal""}"
Primeval Forest,Character,Lost Explorer,Stranded civilized person,"{""power_level"":2,""connection"":""civilian""}"
Primeval Forest,Character,Nature Spirit,Manifestation of forest,"{""power_level"":4,""connection"":""spirit""}"
Primeval Forest,Character,Shaman,Spiritual leader,"{""power_level"":3,""connection"":""religious""}"
Primeval Forest,Character,The Hermit,Isolated individual,"{""power_level"":2,""connection"":""outcast""}"
Primeval Forest,Character,Tracker,Expert hunter,"{""power_level"":3,""connection"":""tribal""}"
Primeval Forest,Character,Tribal Hunter,Provider for community,"{""power_level"":2,""connection"":""tribal""}"
Primeval Forest,Character,Wanderer,Eternal nomad,"{""power_level"":2,""connection"":""traveler""}"
Primeval Forest,Character,Wild Child,Raised by animals,"{""power_level"":2,""connection"":""wild""}"
Primeval Forest,Drawback,Cannot Read,Illiterate,"{""skill_penalty"":""literacy""}"
Primeval Forest,Drawback,Cannot Swim,Terrified of deep water,"{""fear"":""water""}"
Primeval Forest,Drawback,Cursed by Nature,Plants die at touch,"{""curse"":true}"
Primeval Forest,Drawback,Distrusts Civilization,Uncomfortable in cities,"{""social_penalty"":true}"
Primeval Forest,Drawback,Fear of Fire,Primal terror of flames,"{""fear"":""fire""}"
Primeval Forest,Drawback,Fear of Inside,Claustrophobia,"{""fear"":""enclosed""}"
Primeval Forest,Drawback,Feral Speech,Limited language,"{""social_penalty"":true}"
Primeval Forest,Drawback,Hunted by Apex Predator,Stalked by creature,"{""hunted"":true}"
Primeval Forest,Drawback,Illiterate,Cannot read,"{""skill_penalty"":""literacy""}"
Primeval Forest,Drawback,Light Sensitivity,Pain in sunlight,"{""weakness"":""light""}"
Primeval Forest,Drawback,Marked by Beast,Scarred and frightening,"{""social_penalty"":true}"
Primeval Forest,Drawback,Savage Nature,Struggle to control instincts,"{""berserk"":true}"
Primeval Forest,Drawback,Sun Stroke,Susceptible to heat,"{""weakness"":""heat""}"
Primeval Forest,Drawback,Susceptible to Cold,No tolerance for low temps,"{""weakness"":""cold""}"
Primeval Forest,Drawback,Territorial Rage,Violent when invaded,"{""berserk"":true}"
Primeval Forest,Drawback,Weather Dependent,Weakened by storms,"{""weakness"":""weather""}"
Primeval Forest,Item,Animal Totem,Carved figurine,"{""utility"":""spiritual""}"
Primeval Forest,Item,Bear Trap,Heavy metal jaws,"{""damage"":2,""trap"":true}"
Primeval Forest,Item,Bone Spear,Weapon from beast,"{""damage"":2}"
Primeval Forest,Item,Ceremonial Paint,Ritual markings,"{""utility"":""ritual""}"
Primeval Forest,Item,Feather Cloak,Slows falls,"{""utility"":""fall""}"
Primeval Forest,Item,Fire Starter Kit,Flint and steel,"{""utility"":""survival""}"
Primeval Forest,Item,Flint Knife,Stone blade,"{""damage"":1}"
Primeval Forest,Item,Hand-Carved Bow,Wooden bow,"{""damage"":2,""range"":""medium""}"
Primeval Forest,Item,Healing Herbs,Medicinal plants,"{""heal"":1}"
Primeval Forest,Item,Hunting Horn,Produces sound,"{""utility"":""signal""}"
Primeval Forest,Item,Poison Arrows,Toxin tipped,"{""damage"":2,""poison"":true}"
Primeval Forest,Item,Spirit Fetish,Bone talisman,"{""utility"":""luck""}"
Primeval Forest,Item,Stone Axe,Multi-purpose tool,"{""damage"":2}"
Primeval Forest,Item,Tribal Mask,Ceremonial covering,"{""utility"":""ritual""}"
Primeval Forest,Item,Water Skin,Liquid container,"{""utility"":""survival""}"
Primeval Forest,Item,Wooden Shield,Bark defense,"{""armor"":1}"
Primeval Forest,Skill,Animal Calls,Mimic sounds,"{""skill"":""nature""}"
Primeval Forest,Skill,Camouflage,Blend in,"{""skill"":""stealth""}"
Primeval Forest,Skill,Celestial Navigation,Find direction,"{""skill"":""survival""}"
Primeval Forest,Skill,Climbing,Scale obstacles,"{""skill"":""athletics""}"
Primeval Forest,Skill,Fire Making,Create flame,"{""skill"":""survival""}"
Primeval Forest,Skill,Foraging,Find food,"{""skill"":""survival""}"
Primeval Forest,Skill,Herbalism,Identify plants,"{""skill"":""medicine""}"
Primeval Forest,Skill,Leatherworking,Tan hides,"{""skill"":""craft""}"
Primeval Forest,Skill,Rope Making,Twist fibers,"{""skill"":""craft""}"
Primeval Forest,Skill,Skinning,Process hides,"{""skill"":""craft""}"
Primeval Forest,Skill,Spearfishing,Catch fish,"{""skill"":""survival""}"
Primeval Forest,Skill,Stone Knapping,Shape tools,"{""skill"":""craft""}"
Primeval Forest,Skill,Swimming,Move in water,"{""skill"":""athletics""}"
Primeval Forest,Skill,Tracking,Follow trails,"{""skill"":""nature""}"
Primeval Forest,Skill,Trap Making,Construct snares,"{""skill"":""survival""}"
Primeval Forest,Skill,Weather Reading,Predict storms,"{""skill"":""survival""}"
Primeval Forest,Trait,Alert,Aware of surroundings,"{""trait"":true}"
Primeval Forest,Trait,Attuned,Connected to nature,"{""trait"":true}"
Primeval Forest,Trait,Cautious,Vigilant,"{""trait"":true}"
Primeval Forest,Trait,Enduring,Withstand hardship,"{""trait"":true}"
Primeval Forest,Trait,Fierce,Savage intensity,"{""trait"":true}"
Primeval Forest,Trait,Independent,Self-sufficient,"{""trait"":true}"
Primeval Forest,Trait,Instinctual,Trust gut,"{""trait"":true}"
Primeval Forest,Trait,Observant,Notice details,"{""trait"":true}"
Primeval Forest,Trait,Patient,Wait motionless,"{""trait"":true}"
Primeval Forest,Trait,Primal,Instinct over reason,"{""trait"":true}"
Primeval Forest,Trait,Primitive,Reject technology,"{""trait"":true}"
Primeval Forest,Trait,Silent,Move soundlessly,"{""trait"":true}"
Primeval Forest,Trait,Stoic,Show no weakness,"{""trait"":true}"
Primeval Forest,Trait,Superstitious,Believe in signs,"{""trait"":true}"
Primeval Forest,Trait,Territorial,Protective of space,"{""trait"":true}"
Primeval Forest,Trait,Wild,Untamed,"{""trait"":true}"
Sci-Fi,Ability,Adaptive Immunity,Rapidly resist alien pathogens,"{""resistance"":""disease""}"
Sci-Fi,Ability,Clone Memory,Access memories from source,"{""utility"":""knowledge""}"
Sci-Fi,Ability,Cryogenic Sleep,Enter suspended animation,"{""utility"":""rest""}"
Sci-Fi,Ability,Cyborg Strength,Mechanical limbs grant power,"{""buff"":""strength""}"
Sci-Fi,Ability,Energy Absorption,Drain power from machines,"{""utility"":""energy""}"
Sci-Fi,Ability,Force Field,Generate energy barrier,"{""shield"":2}"
Sci-Fi,Ability,Gravity Manipulation,Alter local fields,"{""utility"":""flight""}"
Sci-Fi,Ability,Hive Mind Connection,Link to collective,"{""utility"":""comms""}"
Sci-Fi,Ability,Holographic Disguise,Project false appearance,"{""utility"":""disguise""}"
Sci-Fi,Ability,Phase Shift,Become intangible,"{""defense"":""phase""}"
Sci-Fi,Ability,Quantum Entanglement,Communicate instantly,"{""utility"":""comms""}"
Sci-Fi,Ability,Sonic Disruption,Project sound waves,"{""damage"":2,""type"":""sonic""}"
Sci-Fi,Ability,Technopathy,Control technology,"{""utility"":""control""}"
Sci-Fi,Ability,Teleportation,Instant transport,"{""movement"":""teleport""}"
Sci-Fi,Ability,Time Dilation Field,Slow local time,"{""utility"":""time""}"
Sci-Fi,Ability,Universal Translation,Understand any language,"{""utility"":""language""}"
Sci-Fi,Character,AI Rights Activist,Fights for synthetic recognition,"{""power_level"":2,""connection"":""political""}"
Sci-Fi,Character,Alien Refugee,Survivor of destroyed world,"{""power_level"":2,""connection"":""outcast""}"
Sci-Fi,Character,Bounty Hunter,Track targets across galaxy,"{""power_level"":3,""connection"":""mercenary""}"
Sci-Fi,Character,Clone Soldier,Bred for combat,"{""power_level"":3,""connection"":""military""}"
Sci-Fi,Character,Defective Droid,Malfunctioning AI,"{""power_level"":2,""connection"":""tech""}"
Sci-Fi,Character,Fleet Admiral,Command armada,"{""power_level"":4,""connection"":""military""}"
Sci-Fi,Character,Galactic Diplomat,Negotiate between empires,"{""power_level"":2,""connection"":""political""}"
Sci-Fi,Character,Memory Thief,Steal recorded experiences,"{""power_level"":2,""connection"":""criminal""}"
Sci-Fi,Character,Psionic Monk,Warrior-mystic,"{""power_level"":4,""connection"":""religious""}"
Sci-Fi,Character,Quantum Engineer,Manipulate probability,"{""power_level"":2,""connection"":""science""}"
Sci-Fi,Character,Space Smuggler,Charming rogue,"{""power_level"":2,""connection"":""criminal""}"
Sci-Fi,Character,Starship Captain,Command vessel,"{""power_level"":3,""connection"":""military""}"
Sci-Fi,Character,Time Traveler,Displaced from era,"{""power_level"":4,""connection"":""mystery""}"
Sci-Fi,Character,Uplift Project,Enhanced animal,"{""power_level"":3,""connection"":""science""}"
Sci-Fi,Character,Void Cultist,Worships dark matter entities,"{""power_level"":2,""connection"":""cult""}"
Sci-Fi,Character,Xenobiologist,Study alien life,"{""power_level"":2,""connection"":""science""}"
Sci-Fi,Drawback,AI Dependence,Helpless without computer,"{""dependency"":""tech""}"
Sci-Fi,Drawback,Alien Contamination,Infected with organism,"{""sickness"":""alien""}"
Sci-Fi,Drawback,Clone Degradation,Genetic breakdown,"{""weakness"":""physical""}"
Sci-Fi,Drawback,Hive Mind Rejection,Expelled from collective,"{""sanity_loss"":true}"
Sci-Fi,Drawback,Luddite,Refuse technology,"{""restriction"":""tech""}"
Sci-Fi,Drawback,Paradox Sickness,Time travel consequences,"{""sickness"":""time""}"
Sci-Fi,Drawback,Psychic Feedback,Mental powers cause pain,"{""damage_self"":true}"
Sci-Fi,Drawback,Reality Drift,Unstable quantum state,"{""glitch"":true}"
Sci-Fi,Drawback,Silicon Allergy,Reject cybernetics,"{""weakness"":""tech""}"
Sci-Fi,Drawback,Temporal Displacement,Out of phase with time,"{""glitch"":true}"
Sci-Fi,Drawback,Void Touched,Exposure to dark energy,"{""sanity_loss"":true}"
Sci-Fi,Item,Bioscanner,Analyze life signs,"{""utility"":""scan""}"
Sci-Fi,Item,Cloaking Device,Bend light,"{""utility"":""stealth""}"
Sci-Fi,Item,Energy Shield Belt,Wearable barrier,"{""armor"":2}"
Sci-Fi,Item,Gravity Boots,Walk on any surface,"{""movement"":""zero-g""}"
Sci-Fi,Item,Hologram Projector,Create illusions,"{""utility"":""illusion""}"
Sci-Fi,Item,Jetpack,Personal flight,"{""movement"":""flight""}"
Sci-Fi,Item,Laser Pistol,Focused light weapon,"{""damage"":2}"
Sci-Fi,Item,Memory Crystal,Store consciousness,"{""utility"":""data""}"
Sci-Fi,Item,Nano-Med Gel,Healing paste,"{""heal"":3}"
Sci-Fi,Item,Personal Forcefield,Belt-worn shield,"{""armor"":2}"
Sci-Fi,Item,Phase Rifle,Energy weapon that phases through solid matter,"{""damage"":3,""tag"":""piercing""}"
Sci-Fi,Item,Photon Blade,Hardlight weapon,"{""damage"":3}"
Sci-Fi,Item,Plasma Sword,Superheated blade,"{""damage"":3}"
Sci-Fi,Item,Quantum Computer,Calculate possibilities,"{""utility"":""computer""}"
Sci-Fi,Item,Stasis Pod,Suspended animation,"{""utility"":""medical""}"
Sci-Fi,Item,Universal Translator,Interprets language,"{""utility"":""language""}"
Sci-Fi,Item,Wormhole Generator,Temporary portals,"{""movement"":""teleport""}"
Sci-Fi,Skill,Alien Psychology,Comprehend non-human thinking,"{""skill"":""science""}"
Sci-Fi,Skill,Astrogation,Plot courses,"{""skill"":""pilot""}"
Sci-Fi,Skill,Clone Detection,Identify duplicates,"{""skill"":""perception""}"
Sci-Fi,Skill,Cybernetics Repair,Maintain augmentations,"{""skill"":""tech""}"
Sci-Fi,Skill,Energy Weapons,Proficiency,"{""skill"":""combat""}"
Sci-Fi,Skill,Hostile Environment Survival,Endure extremes,"{""skill"":""survival""}"
Sci-Fi,Skill,Quantum Mechanics,Understand probability,"{""skill"":""science""}"
Sci-Fi,Skill,Robotics Engineering,Build artificial beings,"{""skill"":""tech""}"
Sci-Fi,Skill,Starship Piloting,Operate vessels,"{""skill"":""pilot""}"
Sci-Fi,Skill,System Hacking,Breach security,"{""skill"":""tech""}"
Sci-Fi,Skill,Temporal Theory,Understand time travel,"{""skill"":""science""}"
Sci-Fi,Skill,Terraforming,Transform planets,"{""skill"":""science""}"
Sci-Fi,Skill,Void Navigation,Chart courses,"{""skill"":""pilot""}"
Sci-Fi,Skill,Xenobiology,Understand alien life,"{""skill"":""science""}"
Sci-Fi,Skill,Xenolinguistics,Learn alien languages,"{""skill"":""language""}"
Sci-Fi,Skill,Zero-G Combat,Fight in weightlessness,"{""skill"":""combat""}"
Sci-Fi,Trait,Adaptable,Adjust quickly,"{""trait"":true}"
Sci-Fi,Trait,Ambidextrous,Equally skilled with both hands.,"{""mechanic"":""extra_die_dual_wield""}"
Sci-Fi,Trait,Calculating,Weigh probabilities,"{""trait"":true}"
Sci-Fi,Trait,Compassionate,Empathy for all,"{""trait"":true}"
Sci-Fi,Trait,Curious,Desire to explore,"{""trait"":true}"
Sci-Fi,Trait,Enhanced,Genetically superior,"{""trait"":true}"
Sci-Fi,Trait,Explorer,Driven to discover,"{""trait"":true}"
Sci-Fi,Trait,Idealistic,Believe in better,"{""trait"":true}"
Sci-Fi,Trait,Jaded,Seen too much,"{""trait"":true}"
Sci-Fi,Trait,Logical,Rationality,"{""trait"":true}"
Sci-Fi,Trait,Methodical,Systematic,"{""trait"":true}"
Sci-Fi,Trait,Open-Minded,Accept impossible,"{""trait"":true}"
Sci-Fi,Trait,Paranoid,Threat awareness,"{""trait"":true}"
Sci-Fi,Trait,Psionic,Mental abilities,"{""trait"":true}"
Sci-Fi,Trait,Rational,Reject superstition,"{""trait"":true}"
Sci-Fi,Trait,Synthetic,Artificial,"{""trait"":true}"
Sci-Fi,Trait,Visionary,See futures,"{""trait"":true}"
Spy,Ability,Cold Reading,Assess person through observation,"{""social"":""insight""}"
Spy,Ability,Eidetic Memory,Remember everything perfectly,"{""utility"":""memory""}"
Spy,Ability,Enhanced Conditioning,Superior endurance,"{""buff"":""stamina""}"
Spy,Ability,Escape Artist,Get free from restraints,"{""utility"":""escape""}"
Spy,Ability,Improvised Weaponry,Everyday objects become deadly,"{""combat"":""improvised""}"
Spy,Ability,Linguistic Genius,Learn languages rapidly,"{""utility"":""language""}"
Spy,Ability,Lip Reading,Understand distant conversations,"{""perception"":""visual""}"
Spy,Ability,Master of Disguise,Change appearance convincingly,"{""utility"":""disguise""}"
Spy,Ability,Photographic Memory,Instant recall,"{""utility"":""memory""}"
Spy,Ability,Pickpocket Master,Steal without detection,"{""utility"":""theft""}"
Spy,Ability,Poison Immunity,Resistance to toxins,"{""resistance"":""poison""}"
Spy,Ability,Situational Awareness,Track threats,"{""perception"":""danger""}"
Spy,Ability,Sleeper Agent Protocol,Dormant skills activate,"{""buff"":""crisis""}"
Spy,Ability,Social Engineering,Manipulate people,"{""social"":""deception""}"
Spy,Ability,Speed Reading,Absorb documents instantly,"{""utility"":""knowledge""}"
Spy,Ability,Voice Mimicry,Imitate any voice,"{""utility"":""deception""}"
Spy,Character,Arms Dealer,Merchant of death,"{""power_level"":3,""connection"":""black_market""}"
Spy,Character,Communications Officer,Maintains networks,"{""power_level"":2,""connection"":""tech""}"
Spy,Character,Counter-Intelligence,Hunts moles,"{""power_level"":3,""connection"":""agency""}"
Spy,Character,Diplomat,Official cover,"{""power_level"":2,""connection"":""political""}"
Spy,Character,Double Agent,Playing both sides,"{""power_level"":3,""connection"":""traitor""}"
Spy,Character,Extraction Specialist,Gets people out,"{""power_level"":3,""connection"":""ops""}"
Spy,Character,Field Medic,Keeps operatives alive,"{""power_level"":2,""connection"":""medical""}"
Spy,Character,Hacker,Digital infiltration,"{""power_level"":2,""connection"":""tech""}"
Spy,Character,Intelligence Analyst,Pieces info together,"{""power_level"":2,""connection"":""agency""}"
Spy,Character,Retired Assassin,Former killer,"{""power_level"":4,""connection"":""mercenary""}"
Spy,Character,Socialite Informant,Gathers intelligence at parties,"{""power_level"":1,""connection"":""social""}"
Spy,Character,The Handler,Coordinates agents,"{""power_level"":3,""connection"":""agency""}"
Spy,Character,The Recruit,New agent,"{""power_level"":1,""connection"":""rookie""}"
Spy,Character,Undercover Agent,Deep cover,"{""power_level"":3,""connection"":""ops""}"
Spy,Character,Weapons Specialist,Expert in arms,"{""power_level"":3,""connection"":""military""}"
Spy,Character,Wetwork Specialist,Professional assassin,"{""power_level"":4,""connection"":""mercenary""}"
Spy,Drawback,Addiction,Dependent on danger,"{""addiction"":true}"
Spy,Drawback,Agency Disavowed,Denied by organization,"{""hunted"":true}"
Spy,Drawback,Assassin's Mark,Hunted by killer,"{""hunted"":true}"
Spy,Drawback,Asset Turned,Betrayed by trusted,"{""betrayal"":true}"
Spy,Drawback,Blackmail Leverage,Enemy has info,"{""leverage"":true}"
Spy,Drawback,Burn Notice,Hunted by allies,"{""hunted"":true}"
Spy,Drawback,Compromised Identity,Cover blown,"{""exposure"":true}"
Spy,Drawback,Double Crossed,Betrayed,"{""betrayal"":true}"
Spy,Drawback,Enemy of the State,Government target,"{""hunted"":true}"
Spy,Drawback,Flashbacks,PTSD,"{""sanity_loss"":true}"
Spy,Drawback,Memory Gaps,Holes in memory,"{""amnesia"":true}"
Spy,Drawback,Psychologically Profiled,Enemy knows weaknesses,"{""vulnerability"":true}"
Spy,Drawback,Romantic Liability,Love interest exploited,"{""weakness"":""emotional""}"
Spy,Drawback,Tracker Implant,Device broadcasting location,"{""tracking"":true}"
Spy,Drawback,Trigger Word,Activates programming,"{""control"":true}"
Spy,Drawback,Trust Issues,See enemies everywhere,"{""paranoia"":true}"
Spy,Item,Concealed Blade,Hidden weapon,"{""damage"":1,""concealed"":true}"
Spy,Item,Cyanide Pill,Suicide capsule,"{""utility"":""suicide""}"
Spy,Item,Dead Drop Location,Secure message spot,"{""utility"":""comms""}"
Spy,Item,Disguise Kit,Makeup and props,"{""utility"":""disguise""}"
Spy,Item,Encryption Key,Access device,"{""utility"":""access""}"
Spy,Item,Escape Kit,Extraction gear,"{""utility"":""escape""}"
Spy,Item,Exploding Pen,Concealed explosive,"{""damage"":2,""concealed"":true}"
Spy,Item,Forged Passport,Fake identities,"{""utility"":""identity""}"
Spy,Item,Garrotte Wire,Silent strangulation,"{""damage"":3,""silent"":true}"
Spy,Item,Micro-Camera,Miniature photography,"{""utility"":""spy""}"
Spy,Item,Miniature Drone,Surveillance flyer,"{""utility"":""scout""}"
Spy,Item,Poison Ring,Delivery jewelry,"{""damage"":2,""poison"":true}"
Spy,Item,Satellite Phone,Encrypted comms,"{""utility"":""comms""}"
Spy,Item,Silenced Pistol,Quiet elimination,"{""damage"":2,""silent"":true}"
Spy,Item,Truth Serum,Interrogation aid,"{""utility"":""interrogation""}"
Spy,Item,Wiretap Kit,Surveillance gear,"{""utility"":""spy""}"
Spy,Skill,Close Combat,Lethal fighting,"{""skill"":""combat""}"
Spy,Skill,Combat Driving,Evasive maneuvers,"{""skill"":""pilot""}"
Spy,Skill,Computer Hacking,Breach systems,"{""skill"":""tech""}"
